time,enrolled,available,waitlisted,total
2023-01-18T09:26:11,0,25,0,25
2023-01-18T09:36:21,0,25,0,25
2023-01-18T09:46:34,0,25,0,25
2023-01-18T09:56:40,0,25,0,25
2023-01-18T10:06:46,0,25,0,25
2023-01-18T10:17:03,0,25,0,25
2023-01-18T10:27:10,0,25,0,25
2023-01-18T10:37:14,0,25,0,25
2023-01-18T10:47:21,0,25,0,25
2023-01-18T10:57:35,0,25,0,25
2023-01-18T11:07:59,0,25,0,25
2023-01-18T11:18:13,0,25,0,25
2023-01-18T11:28:24,0,25,0,25
2023-01-18T11:38:31,0,25,0,25
2023-01-18T11:48:49,0,25,0,25
2023-01-18T11:58:57,0,25,0,25
2023-01-18T12:09:12,0,25,0,25
2023-01-18T12:19:27,0,25,0,25
2023-01-18T12:29:36,0,25,0,25
2023-01-18T12:39:45,0,25,0,25
2023-01-18T12:50:05,0,25,0,25
2023-01-18T13:00:13,0,25,0,25
2023-01-18T13:10:25,0,25,0,25
2023-01-18T13:20:42,0,25,0,25
2023-01-18T13:30:48,0,25,0,25
2023-01-18T13:40:54,0,25,0,25
2023-01-18T13:50:59,0,25,0,25
2023-01-18T14:01:35,0,25,0,25
2023-01-18T14:11:43,0,25,0,25
2023-01-18T14:21:49,0,25,0,25
2023-01-18T14:31:55,0,25,0,25
2023-01-18T14:42:00,0,25,0,25
2023-01-18T14:52:05,0,25,0,25
2023-01-18T15:02:21,0,25,0,25
2023-01-18T15:12:35,0,25,0,25
2023-01-18T15:22:44,0,25,0,25
2023-01-18T15:32:56,0,25,0,25
2023-01-18T15:42:58,0,25,0,25
2023-01-18T15:53:03,0,25,0,25
2023-01-18T16:03:12,0,25,0,25
2023-01-18T16:13:27,0,25,0,25
2023-01-18T16:23:30,0,25,0,25
2023-01-18T16:33:31,0,25,0,25
2023-01-18T16:43:32,0,25,0,25
2023-01-18T16:53:34,0,25,0,25
2023-01-18T17:03:35,0,25,0,25
2023-01-18T17:13:36,0,25,0,25
2023-01-18T17:23:37,0,25,0,25
2023-01-18T17:33:47,0,25,0,25
2023-01-18T17:43:47,0,25,0,25
2023-01-18T17:53:46,0,25,0,25
2023-01-18T18:03:45,0,25,0,25
2023-01-18T18:13:45,0,25,0,25
2023-01-18T18:23:45,0,25,0,25
2023-01-18T18:33:45,0,25,0,25
2023-01-18T18:43:44,0,25,0,25
2023-01-18T18:53:44,0,25,0,25
2023-01-18T19:03:44,0,25,0,25
2023-01-18T19:13:44,0,25,0,25
2023-01-18T19:23:42,0,25,0,25
2023-01-18T19:33:41,0,25,0,25
2023-01-18T19:43:52,0,25,0,25
2023-01-18T19:53:52,0,25,0,25
2023-01-18T20:03:51,0,25,0,25
2023-01-18T20:13:50,0,25,0,25
2023-01-18T20:23:48,0,25,0,25
2023-01-18T20:33:47,0,25,0,25
2023-01-18T20:43:45,0,25,0,25
2023-01-18T20:53:44,0,25,0,25
2023-01-18T21:03:43,0,25,0,25
2023-01-18T21:13:42,0,25,0,25
2023-01-18T21:23:41,0,25,0,25
2023-01-18T21:33:42,0,25,0,25
2023-01-18T21:43:52,0,25,0,25
2023-01-18T21:53:50,0,25,0,25
2023-01-18T22:03:48,0,25,0,25
2023-01-18T22:13:47,0,25,0,25
2023-01-18T22:23:45,0,25,0,25
2023-01-18T22:33:44,0,25,0,25
2023-01-18T22:43:44,0,25,0,25
2023-01-18T22:53:43,0,25,0,25
2023-01-18T23:03:40,0,25,0,25
2023-01-18T23:13:39,0,25,0,25
2023-01-18T23:23:39,0,25,0,25
2023-01-18T23:33:49,0,25,0,25
2023-01-18T23:43:49,0,25,0,25
2023-01-18T23:53:48,0,25,0,25
2023-01-19T00:03:47,0,25,0,25
2023-01-19T00:13:50,0,25,0,25
2023-01-19T00:23:51,0,25,0,25
2023-01-19T00:33:51,0,25,0,25
2023-01-19T00:43:53,0,25,0,25
2023-01-19T00:53:54,0,25,0,25
2023-01-19T01:03:55,0,25,0,25
2023-01-19T01:13:54,0,25,0,25
2023-01-19T01:23:54,0,25,0,25
2023-01-19T01:34:02,0,25,0,25
2023-01-19T01:44:00,0,25,0,25
2023-01-19T01:53:57,0,25,0,25
2023-01-19T02:03:55,0,25,0,25
2023-01-19T02:13:54,0,25,0,25
2023-01-19T02:23:53,0,25,0,25
2023-01-19T02:33:52,0,25,0,25
2023-01-19T02:43:50,0,25,0,25
2023-01-19T02:53:49,0,25,0,25
2023-01-19T03:03:47,0,25,0,25
2023-01-19T03:13:45,0,25,0,25
2023-01-19T03:23:42,0,25,0,25
2023-01-19T03:33:42,0,25,0,25
2023-01-19T03:43:43,0,25,0,25
2023-01-19T03:53:47,0,25,0,25
2023-01-19T04:03:49,0,25,0,25
2023-01-19T04:13:51,0,25,0,25
2023-01-19T04:30:24,0,25,0,25
2023-01-19T04:41:38,0,25,0,25
2023-01-19T04:51:58,0,25,0,25
2023-01-19T05:02:00,0,25,0,25
2023-01-19T05:12:00,0,25,0,25
2023-01-19T05:21:59,0,25,0,25
2023-01-19T05:31:57,0,25,0,25
2023-01-19T05:41:54,0,25,0,25
2023-01-19T05:51:53,0,25,0,25
2023-01-19T06:01:58,0,25,0,25
2023-01-19T06:12:05,0,25,0,25
2023-01-19T06:22:08,0,25,0,25
2023-01-19T06:32:10,0,25,0,25
2023-01-19T06:42:13,0,25,0,25
2023-01-19T06:52:14,0,25,0,25
2023-01-19T07:02:19,0,25,0,25
2023-01-19T07:12:22,0,25,0,25
2023-01-19T07:22:26,0,25,0,25
2023-01-19T07:32:31,0,25,0,25
2023-01-19T07:42:35,0,25,0,25
2023-01-19T07:52:38,0,25,0,25
2023-01-19T08:02:42,0,25,0,25
2023-01-19T08:12:47,0,25,0,25
2023-01-19T08:22:52,0,25,0,25
2023-01-19T08:33:05,0,25,0,25
2023-01-19T08:43:08,0,25,0,25
2023-01-19T08:53:12,0,25,0,25
2023-01-19T09:03:19,0,25,0,25
2023-01-19T09:13:27,0,25,0,25
2023-01-19T09:23:32,0,25,0,25
2023-01-19T09:33:42,0,25,0,25
2023-01-19T09:43:46,0,25,0,25
2023-01-19T09:54:04,0,25,0,25
2023-01-19T10:04:15,0,25,0,25
2023-01-19T10:14:20,0,25,0,25
2023-01-19T10:24:24,0,25,0,25
2023-01-19T10:34:31,0,25,0,25
2023-01-19T10:44:50,0,25,0,25
2023-01-19T10:55:05,0,25,0,25
2023-01-19T11:05:14,0,25,0,25
2023-01-19T11:15:20,0,25,0,25
2023-01-19T11:25:29,0,25,0,25
2023-01-19T11:35:34,0,25,0,25
2023-01-19T11:45:54,0,25,0,25
2023-01-19T11:56:03,0,25,0,25
2023-01-19T12:06:17,0,25,0,25
2023-01-19T12:16:22,0,25,0,25
2023-01-19T12:26:38,0,25,0,25
2023-01-19T12:36:52,0,25,0,25
2023-01-19T12:46:57,0,25,0,25
2023-01-19T12:57:10,0,25,0,25
2023-01-19T13:07:21,0,25,0,25
2023-01-19T13:17:34,0,25,0,25
2023-01-19T13:27:54,0,25,0,25
2023-01-19T13:38:03,0,25,0,25
2023-01-19T13:48:09,0,25,0,25
2023-01-19T13:58:16,0,25,0,25
2023-01-19T14:08:22,0,25,0,25
2023-01-19T14:18:26,0,25,0,25
2023-01-19T14:28:44,0,25,0,25
2023-01-19T14:38:51,0,25,0,25
2023-01-19T14:48:56,0,25,0,25
2023-01-19T14:59:01,0,25,0,25
2023-01-19T15:09:10,0,25,0,25
2023-01-19T15:19:27,0,25,0,25
2023-01-19T15:29:32,0,25,0,25
2023-01-19T15:39:37,0,25,0,25
2023-01-19T15:49:41,0,25,0,25
2023-01-19T15:59:44,0,25,0,25
2023-01-19T16:09:48,0,25,0,25
2023-01-19T16:20:05,0,25,0,25
2023-01-19T16:30:08,0,25,0,25
2023-01-19T16:40:10,0,25,0,25
2023-01-19T16:50:12,0,25,0,25
2023-01-19T17:00:20,0,25,0,25
2023-01-19T17:10:33,0,25,0,25
2023-01-19T17:20:37,0,25,0,25
2023-01-19T17:30:39,0,25,0,25
2023-01-19T17:40:40,0,25,0,25
2023-01-19T17:50:42,0,25,0,25
2023-01-19T18:00:42,0,25,0,25
2023-01-19T18:10:55,0,25,0,25
2023-01-19T18:20:56,0,25,0,25
2023-01-19T18:30:56,0,25,0,25
2023-01-19T18:40:56,0,25,0,25
2023-01-19T18:50:55,0,25,0,25
2023-01-19T19:00:55,0,25,0,25
2023-01-19T19:10:55,0,25,0,25
2023-01-19T19:20:54,0,25,0,25
2023-01-19T19:30:54,0,25,0,25
2023-01-19T19:41:05,0,25,0,25
2023-01-19T19:51:04,0,25,0,25
2023-01-19T20:01:04,0,25,0,25
2023-01-19T20:11:04,0,25,0,25
2023-01-19T20:21:08,0,25,0,25
2023-01-19T20:31:14,0,25,0,25
2023-01-19T20:41:14,0,25,0,25
2023-01-19T20:51:23,0,25,0,25
2023-01-19T21:01:23,0,25,0,25
2023-01-19T21:11:23,0,25,0,25
2023-01-19T21:21:23,0,25,0,25
2023-01-19T21:31:22,0,25,0,25
2023-01-19T21:41:21,0,25,0,25
2023-01-19T21:51:20,0,25,0,25
2023-01-19T22:01:21,0,25,0,25
2023-01-19T22:11:31,0,25,0,25
2023-01-19T22:21:31,0,25,0,25
2023-01-19T22:31:31,0,25,0,25
2023-01-19T22:41:31,0,25,0,25
2023-01-19T22:51:30,0,25,0,25
2023-01-19T23:01:29,0,25,0,25
2023-01-19T23:11:40,0,25,0,25
2023-01-19T23:21:41,0,25,0,25
2023-01-19T23:31:40,0,25,0,25
2023-01-19T23:41:39,0,25,0,25
2023-01-19T23:51:38,0,25,0,25
2023-01-20T00:01:38,0,25,0,25
